Наименование закупки;Идентификационный код закупки;Номер лота;Наименование лота;Начальная (максимальная) цена контракта;Валюта;Начальная (максимальная) цена в валюте контракта;Валюта контракта;Наименование Заказчика;Организация, осуществляющая размещение ;Дата размещения;Дата окончания подачи заявок;
Право заключения муниципального контракта на выполнение работ по регулярным перевозкам пассажиров и багажа автомобильным транспортом общего пользования по регулируемым тарифам по маршруту № 2 «Вокзал-Совхоз» и маршруту №5 «Вокзал-Старый Балиндер» в городе Заринске Алтайского края;'223220501105322050100100520014931811';;;1.00;RUB;NA;NA;КОМИТЕТ ПО УПРАВЛЕНИЮ ГОРОДСКИМ ХОЗЯЙСТВОМ, ПРОМЫШЛЕННОСТЬЮ, ТРАНСПОРТОМ И СВЯЗЬЮ АДМИНИСТРАЦИИ ГОРОДА ЗАРИНСКА;КОМИТЕТ ПО УПРАВЛЕНИЮ ГОРОДСКИМ ХОЗЯЙСТВОМ, ПРОМЫШЛЕННОСТЬЮ, ТРАНСПОРТОМ И СВЯЗЬЮ АДМИНИСТРАЦИИ ГОРОДА ЗАРИНСКА;27.05.2022;06.06.2022;NA
Поставка изделий медицинского назначения;'222425300853742530100100230010000244';;;200002.00;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""НОВОКУЗНЕЦКИЙ КЛИНИЧЕСКИЙ ПРОТИВОТУБЕРКУЛЕЗНЫЙ ДИСПАНСЕР""";ДЕПАРТАМЕНТ КОНТРАКТНОЙ СИСТЕМЫ КУЗБАССА;14.04.2022;22.04.2022;NA
Поставка ГСМ на 3 квартал 2022 года для нужд администрации Купинского района Новосибирской области.;'223542910713454290100100540010000244';;;784864.00;RUB;NA;NA;АДМИНИСТРАЦИЯ КУПИНСКОГО РАЙОНА НОВОСИБИРСКОЙ ОБЛАСТИ;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ЗАКУПОК КУПИНСКОГО РАЙОНА НОВОСИБИРСКОЙ ОБЛАСТИ""";24.05.2022;03.06.2022;NA
Оказание услуг по диагностике,техническому обслуживанию и ремонту Комплекса технических средств охраны,установленных на объектах Отдела Министерства внутренних дел Российской Федерации по городу Киселевску;'221421100461142110100100280018020244';;;190000.00;RUB;NA;NA;ОТДЕЛ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ГОРОДУ КИСЕЛЕВСКУ;ОТДЕЛ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ГОРОДУ КИСЕЛЕВСКУ;20.05.2022;03.06.2022;NA
Поставка машины стирально-отжимной;'222223900075822390100100300012894244';;;444000.00;RUB;NA;NA;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ СТАЦИОНАРНОЕ УЧРЕЖДЕНИЕ СОЦИАЛЬНОГО ОБСЛУЖИВАНИЯ ""ЕГОРЬЕВСКИЙ ДЕТСКИЙ ПСИХОНЕВРОЛОГИЧЕСКИЙ ИНТЕРНАТ""";"КРАЕВОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ГОСУДАРСТВЕННЫХ ЗАКУПОК АЛТАЙСКОГО КРАЯ""";25.05.2022;03.06.2022;NA
ЭА 5701/22 «Поставка продуктов питания (макаронные изделия)»;'222246506804424650100100230011073244';;;64374.45;RUB;NA;NA;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ СОЦИАЛЬНОГО ОБСЛУЖИВАНИЯ ""ПАНСИОНАТ ДЛЯ ГРАЖДАН ПОЖИЛОГО ВОЗРАСТА И ИНВАЛИДОВ ""СОЛНЕЧНЫЙ""";АГЕНТСТВО ГОСУДАРСТВЕННОГО ЗАКАЗА КРАСНОЯРСКОГО КРАЯ;24.05.2022;06.06.2022;NA
Приобретение ГСМ для нужд ФБУЗ «Центр гигиены и эпидемиологии в Сахалинской области» ;;1;Приобретение ГСМ для нужд ФБУЗ «Центр гигиены и эпидемиологии в Сахалинской области»;1000000.00;RUB;NA;NA;"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ЦЕНТР ГИГИЕНЫ И ЭПИДЕМИОЛОГИИ В САХАЛИНСКОЙ ОБЛАСТИ""";;06.06.2022;;NA
Оказание услуг по диагностике,техническому обслуживанию и ремонту Комплекса технических средств охраны,установленных на объектах Отдела Министерства внутренних дел Российской Федерации по городу Киселевску;'221421100461142110100100430018020244';;;360000.00;RUB;NA;NA;ОТДЕЛ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ГОРОДУ КИСЕЛЕВСКУ;ОТДЕЛ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ГОРОДУ КИСЕЛЕВСКУ;23.05.2022;03.06.2022;NA
покупка жилого помещения на территории села Аскиз Аскизского района Республики Хакасия;'223190202993019020100100260016810412';;;1506000.00;RUB;NA;NA;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""КОМИТЕТ ПО УПРАВЛЕНИЮ СПЕЦИАЛИЗИРОВАННЫМ ЖИЛИЩНЫМ ФОНДОМ АСКИЗСКОГО РАЙОНА""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""КОМИТЕТ ПО УПРАВЛЕНИЮ СПЕЦИАЛИЗИРОВАННЫМ ЖИЛИЩНЫМ ФОНДОМ АСКИЗСКОГО РАЙОНА""";26.05.2022;03.06.2022;NA
Пленка термографическая медицинская;'222250809953025080100100030040000244';;;962982.00;RUB;NA;NA;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""НАХОДКИНСКАЯ ГОРОДСКАЯ БОЛЬНИЦА""";"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""НАХОДКИНСКАЯ ГОРОДСКАЯ БОЛЬНИЦА""";27.05.2022;03.06.2022;NA
Работы по капитальному ремонту инженерной системы теплоснабжения и инженерной системы водоснабжения административного здания;'222542911008854290100100060014322243';;;1534900.00;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ НОВОСИБИРСКОЙ ОБЛАСТИ ""ЦЕНТР СОЦИАЛЬНОЙ ПОДДЕРЖКИ НАСЕЛЕНИЯ КУПИНСКОГО РАЙОНА""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ НОВОСИБИРСКОЙ ОБЛАСТИ ""УПРАВЛЕНИЕ КОНТРАКТНОЙ СИСТЕМЫ""";24.05.2022;06.06.2022;NA
Оказание услуг по диагностике,техническому обслуживанию и ремонту Комплекса видеонаблюдения на объектах Отдела Министерства внутренних дел Российской Федерации по городу Киселевску;'221421100461142110100100270013313244';;;120000.00;RUB;NA;NA;ОТДЕЛ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ГОРОДУ КИСЕЛЕВСКУ;ОТДЕЛ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ГОРОДУ КИСЕЛЕВСКУ;25.05.2022;03.06.2022;NA
Оказание услуг по повышению квалификации;'221420000044642050100100770010000244';;;24200.00;RUB;NA;NA;ТЕРРИТОРИАЛЬНЫЙ ФОНД ОБЯЗАТЕЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ КЕМЕРОВСКОЙ ОБЛАСТИ - КУЗБАССА;ДЕПАРТАМЕНТ КОНТРАКТНОЙ СИСТЕМЫ КУЗБАССА;24.05.2022;03.06.2022;NA
Поставка арочного металлодетектора;'221246614961024660100100230010000244';;;149895.56;RUB;NA;NA;ЕНИСЕЙСКОЕ ТЕРРИТОРИАЛЬНОЕ УПРАВЛЕНИЕ ФЕДЕРАЛЬНОГО АГЕНТСТВА ПО РЫБОЛОВСТВУ;ЕНИСЕЙСКОЕ ТЕРРИТОРИАЛЬНОЕ УПРАВЛЕНИЕ ФЕДЕРАЛЬНОГО АГЕНТСТВА ПО РЫБОЛОВСТВУ;26.05.2022;03.06.2022;NA
Оказание услуг по диагностике,техническому обслуживанию и ремонту Комплекса видеонаблюдения на объектах Отдела Министерства внутренних дел Российской Федерации по городу Киселевску;'221421100461142110100100440013313244';;;220000.00;RUB;NA;NA;ОТДЕЛ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ГОРОДУ КИСЕЛЕВСКУ;ОТДЕЛ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ГОРОДУ КИСЕЛЕВСКУ;25.05.2022;03.06.2022;NA
ПОСТАВКА ЛЕКАРСТВЕННЫХ СРЕДСТВ (Прокаин), лот № 274 на 2 полугодие 2022 года;222190100531019010100105750012120244, 222190101507519010100102340012120000, 222190102266819010100103410012120000, 222190201704319020100101200012120244, 222190202072019020100102580012120244, 222190300424819030100102620012120244, 222190700220219070100101990012120244, 222190800075119080100103270012120244, 222190902007719090100102140012120244, 222191100085719110100101910012120000, 223190500671619050100102360012120244, 223190600526419060100102030012120244;;;207680.00;RUB;NA;NA;;ГОСУДАРСТВЕННЫЙ КОМИТЕТ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК РЕСПУБЛИКИ ХАКАСИЯ;27.05.2022;06.06.2022;NA
Поставка медицинских изделий (Губка гемостатическая компрессионная для наружного применения);'222245703014224570100102180012120244';;;287970.24;RUB;NA;NA;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""НОРИЛЬСКАЯ МЕЖРАЙОННАЯ БОЛЬНИЦА № 1""";"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""НОРИЛЬСКАЯ МЕЖРАЙОННАЯ БОЛЬНИЦА № 1""";26.05.2022;03.06.2022;NA
Поставка дисков колесных;'222420512113042050100100150012932244';;;34480.00;RUB;NA;NA;МИНИСТЕРСТВО ТРУДА И ЗАНЯТОСТИ НАСЕЛЕНИЯ КУЗБАССА;ДЕПАРТАМЕНТ КОНТРАКТНОЙ СИСТЕМЫ КУЗБАССА;26.05.2022;03.06.2022;NA
ПОСТАВКА ЛЕКАРСТВЕННЫХ СРЕДСТВ, лот № 126 на 2 полугодие 2022 года;222190100531019010100105340012120244, 222190100646519010100102390012120000, 222190100833519010100102630012120244, 222190101310219010100101120012120244, 222190101507519010100102120012120000, 222190101519519010100101320012120244, 222190102266819010100102650012120000, 222190102321319010100101790012120000, 222190200368219020100105780012120000, 222190201704319020100100920012120244, 222190202072019020100102110012120244, 222190300006719030100101980012120244, 222190300016219030100101210012120244, 222190300424819030100103020012120244, 222190400099019040100102980012120244, 222190700220219070100101560012120244, 222190800075119080100103310012120244, 222190901017419090100101610012120244, 222190902007719090100101670012120244, 222191000113519100100101870012120244, 222191000897319100100102050012120244, 222191100085719110100102060012120244, 223190500671619050100101880012120244, 223190600526419060100101610012120244;;;584566.70;RUB;NA;NA;;ГОСУДАРСТВЕННЫЙ КОМИТЕТ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК РЕСПУБЛИКИ ХАКАСИЯ;27.05.2022;06.06.2022;NA
Реконструкция ул. Советская и ул. Комсомольская в с. Венгерово Венгеровского района Новосибирской области;'223541910185654190100100080024211244';;;31798380.00;RUB;NA;NA;АДМИНИСТРАЦИЯ ВЕНГЕРОВСКОГО СЕЛЬСОВЕТА ВЕНГЕРОВСКОГО РАЙОНА НОВОСИБИРСКОЙ ОБЛАСТИ;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ НОВОСИБИРСКОЙ ОБЛАСТИ ""УПРАВЛЕНИЕ КОНТРАКТНОЙ СИСТЕМЫ""";20.05.2022;06.06.2022;NA
Оказание услуг по захоронению твердых отходов 4-5 классов опасности;'223190302916119030100100360013821244';;;302882.00;RUB;NA;NA;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ЧЕРНОГОРСКОЕ ГОРОДСКОЕ ХОЗЯЙСТВО""";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ЧЕРНОГОРСКОЕ ГОРОДСКОЕ ХОЗЯЙСТВО""";26.05.2022;03.06.2022;NA
Поставка нефтепродуктов;'222271301209827130100100290011920244';;;2631304.00;RUB;NA;NA;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ НЕТИПОВОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""КРАЕВОЙ ДЕТСКИЙ ЦЕНТР ""СОЗВЕЗДИЕ""";КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ПРАВИТЕЛЬСТВА ХАБАРОВСКОГО КРАЯ;27.05.2022;06.06.2022;NA
Поставка фильтрующих материалов из дробленных горелых пород ;;1;Поставка фильтрующих материалов из дробленных горелых пород;1726848.00;RUB;NA;NA;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОМСКВОДОКАНАЛ""";;24.05.2022;01.06.2022;NA
"Поставка реактивов для анализатора ""ВА-400"" имеющегося в наличии в ГБУЗ НСО «ГКБ №19» для нужд ГБУЗ НСО «ГКБ №19»";'222540911424654090100100470012120244';;;239600.00;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ НОВОСИБИРСКОЙ ОБЛАСТИ ""ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 19""";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ НОВОСИБИРСКОЙ ОБЛАСТИ ""ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 19""";27.05.2022;06.06.2022;NA
Приобретение автогрейдера для осуществления дорожной деятельности;'223381801935038180100101220012892244';;;8650250.00;RUB;NA;NA;АДМИНИСТРАЦИЯ УСТЬ-КУТСКОГО МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ (ГОРОДСКОГО ПОСЕЛЕНИЯ) УСТЬ-КУТСКОГО РАЙОНА ИРКУТСКОЙ ОБЛАСТИ;АДМИНИСТРАЦИЯ УСТЬ-КУТСКОГО МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ (ГОРОДСКОГО ПОСЕЛЕНИЯ) УСТЬ-КУТСКОГО РАЙОНА ИРКУТСКОЙ ОБЛАСТИ;25.05.2022;02.06.2022;NA
Поставка лекарственных препаратов для медицинского применения (Бензилпенициллин, ампициллин);'222380802739038080100101450012120244';;;736500.00;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ОБЛАСТНОЙ КОЖНО-ВЕНЕРОЛОГИЧЕСКИЙ ДИСПАНСЕР""";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ОБЛАСТНОЙ КОЖНО-ВЕНЕРОЛОГИЧЕСКИЙ ДИСПАНСЕР""";23.05.2022;06.06.2022;NA
Поставка реагентов и расходных материалов для проведения иммуногематологических исследований на автоматическом иммуногематологическом анализаторе AutoVue, имеющемся у Заказчика;'222540110946054010100101710012120244';;;1434168.64;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ НОВОСИБИРСКОЙ ОБЛАСТИ ""НОВОСИБИРСКИЙ ГОРОДСКОЙ КЛИНИЧЕСКИЙ ПЕРИНАТАЛЬНЫЙ ЦЕНТР""";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ НОВОСИБИРСКОЙ ОБЛАСТИ ""НОВОСИБИРСКИЙ ГОРОДСКОЙ КЛИНИЧЕСКИЙ ПЕРИНАТАЛЬНЫЙ ЦЕНТР""";26.05.2022;03.06.2022;NA
Поставка и монтаж кондиционера;'222420511948442050100103720012825244';;;59552.00;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ХОЗЯЙСТВЕННЫЙ КОМПЛЕКС АДМИНИСТРАЦИИ ПРАВИТЕЛЬСТВА КУЗБАССА""";ДЕПАРТАМЕНТ КОНТРАКТНОЙ СИСТЕМЫ КУЗБАССА;26.05.2022;03.06.2022;NA
№ УТС-013-05-22-ЗЦ «Поставка кабельной продукции» ;;1;Поставка кабельной продукции;6485000.00;RUB;NA;NA;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЕНИЕ ТЕПЛОВЫХ СИСТЕМ""";;18.05.2022;26.05.2022;NA
оказание клининговых услуг;;1;оказание клининговых услуги;139550.00;RUB;NA;NA;"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ТЕРЕНТЬЕВСКИЙ ДЕТСКИЙ САД""";;06.06.2022;;NA
Выполнение работ по текущему ремонту эвакуационных путей и выходов ГБУЗ «Березовская городская больница имени А.М. Назаренко », расположенной по адресу: Кемеровская область – Кузбасс, г. Березовский, ул.Строителей,2;'223420300003542500100100250010000243';;;1299590.00;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""БЕРЕЗОВСКАЯ ГОРОДСКАЯ БОЛЬНИЦА ИМЕНИ А.М. НАЗАРЕНКО""";ДЕПАРТАМЕНТ КОНТРАКТНОЙ СИСТЕМЫ КУЗБАССА;26.05.2022;03.06.2022;NA
